away_score,clear_chances,corners,data_source,date,fotmob_match_id,fouls,ground_duels_won,ground_duels_won_pct,home_score,last_updated,match_id,opposition_half_passes,possession_pct,red_cards,shots_on_target,status,successful_dribbles,successful_dribbles_pct,team,team_id,total_shots,touches_in_opposition_box,utc_time,xg
1,2.0,5.0,fotmob-parse-bot,2026-06-20,4667786,12.0,33.0,53.0,5,2026-06-28,35,152.0,49.0,0.0,8.0,Completed,7.0,58.0,Sweden,23,16.0,26.0,2026-06-20T17:00:00.000Z,1.01
4,0.0,3.0,fotmob-parse-bot,2026-06-21,4667785,8.0,34.0,54.0,0,2026-06-28,36,111.0,38.0,0.0,0.0,Completed,2.0,29.0,Tunisia,24,2.0,8.0,2026-06-21T04:00:00.000Z,0.05
4,4.0,5.0,fotmob-parse-bot,2026-06-21,4667785,15.0,29.0,46.0,0,2026-06-28,36,279.0,62.0,0.0,5.0,Completed,4.0,27.0,Japan,22,11.0,17.0,2026-06-21T04:00:00.000Z,2.13
0,1.0,4.0,fotmob-parse-bot,2026-06-21,4667793,7.0,34.0,57.0,0,2026-06-28,37,357.0,70.0,1.0,7.0,Completed,14.0,67.0,Belgium,25,23.0,42.0,2026-06-21T19:00:00.000Z,1.79
0,1.0,2.0,fotmob-parse-bot,2026-06-21,4667793,9.0,26.0,43.0,0,2026-06-28,37,76.0,30.0,0.0,3.0,Completed,2.0,40.0,Iran,27,7.0,15.0,2026-06-21T19:00:00.000Z,0.62
3,3.0,4.0,fotmob-parse-bot,2026-06-22,4667792,14.0,27.0,44.0,1,2026-06-28,38,124.0,44.0,0.0,5.0,Completed,7.0,47.0,New Zealand,28,11.0,17.0,2026-06-22T01:00:00.000Z,1.24
3,3.0,3.0,fotmob-parse-bot,2026-06-22,4667792,8.0,34.0,56.0,1,2026-06-28,38,258.0,56.0,0.0,7.0,Completed,7.0,58.0,Egypt,26,19.0,36.0,2026-06-22T01:00:00.000Z,1.87
0,5.0,6.0,fotmob-parse-bot,2026-06-21,4667801,10.0,18.0,35.0,4,2026-06-28,39,398.0,67.0,0.0,8.0,Completed,7.0,44.0,Spain,29,22.0,37.0,2026-06-21T16:00:00.000Z,2.3
0,0.0,1.0,fotmob-parse-bot,2026-06-21,4667801,2.0,33.0,65.0,4,2026-06-28,39,139.0,33.0,0.0,1.0,Completed,8.0,67.0,Saudi Arabia,31,3.0,2.0,2026-06-21T16:00:00.000Z,0.14
2,2.0,11.0,fotmob-parse-bot,2026-06-21,4667800,11.0,27.0,41.0,2,2026-06-28,40,317.0,65.0,0.0,2.0,Completed,7.0,39.0,Uruguay,32,17.0,34.0,2026-06-21T22:00:00.000Z,2.32
2,1.0,4.0,fotmob-parse-bot,2026-06-21,4667800,4.0,39.0,59.0,2,2026-06-28,40,72.0,35.0,0.0,4.0,Completed,12.0,71.0,Cape Verde,30,12.0,10.0,2026-06-21T22:00:00.000Z,0.88
0,5.0,4.0,fotmob-parse-bot,2026-06-22,4667807,8.0,30.0,50.0,3,2026-06-28,41,388.0,56.0,0.0,5.0,Completed,12.0,60.0,France,33,19.0,41.0,2026-06-22T21:00:00.000Z,2.67
0,1.0,2.0,fotmob-parse-bot,2026-06-22,4667807,4.0,30.0,50.0,3,2026-06-28,41,88.0,44.0,0.0,0.0,Completed,6.0,55.0,Iraq,35,4.0,7.0,2026-06-22T21:00:00.000Z,0.63
2,5.0,5.0,fotmob-parse-bot,2026-06-23,4667806,13.0,18.0,31.0,3,2026-06-28,42,131.0,42.0,0.0,7.0,Completed,5.0,56.0,Norway,36,13.0,24.0,2026-06-23T00:00:00.000Z,2.2
2,3.0,4.0,fotmob-parse-bot,2026-06-23,4667806,5.0,40.0,69.0,3,2026-06-28,42,249.0,58.0,0.0,4.0,Completed,11.0,65.0,Senegal,34,16.0,26.0,2026-06-23T00:00:00.000Z,1.72
0,3.0,1.0,fotmob-parse-bot,2026-06-22,4667815,13.0,39.0,57.0,2,2026-06-28,43,227.0,54.0,0.0,5.0,Completed,6.0,55.0,Argentina,37,12.0,19.0,2026-06-22T17:00:00.000Z,2.36
0,1.0,3.0,fotmob-parse-bot,2026-06-22,4667815,13.0,30.0,43.0,2,2026-06-28,43,224.0,46.0,0.0,1.0,Completed,6.0,38.0,Austria,39,6.0,18.0,2026-06-22T17:00:00.000Z,0.53
2,1.0,1.0,fotmob-parse-bot,2026-06-23,4667814,11.0,42.0,46.0,1,2026-06-28,44,78.0,28.0,0.0,4.0,Completed,7.0,30.0,Jordan,40,8.0,13.0,2026-06-23T03:00:00.000Z,0.63
2,3.0,10.0,fotmob-parse-bot,2026-06-23,4667814,6.0,49.0,54.0,1,2026-06-28,44,330.0,72.0,0.0,8.0,Completed,14.0,42.0,Algeria,38,17.0,30.0,2026-06-23T03:00:00.000Z,1.89
0,7.0,3.0,fotmob-parse-bot,2026-06-23,4667822,14.0,43.0,52.0,5,2026-06-28,45,311.0,66.0,0.0,9.0,Completed,14.0,54.0,Portugal,41,17.0,36.0,2026-06-23T17:00:00.000Z,2.61
0,0.0,2.0,fotmob-parse-bot,2026-06-23,4667822,15.0,39.0,48.0,5,2026-06-28,45,105.0,34.0,0.0,2.0,Completed,8.0,53.0,Uzbekistan,43,7.0,6.0,2026-06-23T17:00:00.000Z,0.24
0,2.0,5.0,fotmob-parse-bot,2026-06-24,4667821,12.0,28.0,52.0,1,2026-06-28,46,255.0,64.0,0.0,9.0,Completed,3.0,30.0,Colombia,44,20.0,24.0,2026-06-24T02:00:00.000Z,0.98
0,0.0,4.0,fotmob-parse-bot,2026-06-24,4667821,16.0,26.0,48.0,1,2026-06-28,46,86.0,36.0,0.0,1.0,Completed,0.0,0.0,DR Congo,42,7.0,10.0,2026-06-24T02:00:00.000Z,0.37
0,2.0,9.0,fotmob-parse-bot,2026-06-23,4667828,14.0,43.0,52.0,0,2026-06-28,47,388.0,79.0,0.0,3.0,Completed,7.0,41.0,England,45,19.0,33.0,2026-06-23T20:00:00.000Z,1.36
0,1.0,2.0,fotmob-parse-bot,2026-06-23,4667828,24.0,39.0,48.0,0,2026-06-28,47,45.0,21.0,0.0,1.0,Completed,4.0,40.0,Ghana,47,2.0,10.0,2026-06-23T20:00:00.000Z,0.17
1,1.0,7.0,fotmob-parse-bot,2026-06-23,4667827,19.0,32.0,40.0,0,2026-06-28,48,141.0,42.0,0.0,1.0,Completed,11.0,58.0,Panama,48,8.0,19.0,2026-06-23T23:00:00.000Z,0.55
1,3.0,2.0,fotmob-parse-bot,2026-06-23,4667827,12.0,48.0,60.0,0,2026-06-28,48,210.0,58.0,0.0,2.0,Completed,11.0,100.0,Croatia,46,6.0,15.0,2026-06-23T23:00:00.000Z,1.65
3,0.0,5.0,fotmob-parse-bot,2026-06-25,4667755,9.0,29.0,54.0,0,2026-06-28,49,116.0,52.0,0.0,1.0,Completed,5.0,42.0,Czech Republic,4,13.0,14.0,2026-06-25T01:00:00.000Z,0.53
3,5.0,1.0,fotmob-parse-bot,2026-06-25,4667755,13.0,25.0,46.0,0,2026-06-28,49,151.0,48.0,0.0,5.0,Completed,4.0,67.0,Mexico,1,11.0,15.0,2026-06-25T01:00:00.000Z,1.74
0,1.0,4.0,fotmob-parse-bot,2026-06-25,4667756,7.0,26.0,51.0,1,2026-06-28,50,103.0,32.0,0.0,4.0,Completed,6.0,46.0,South Africa,2,13.0,13.0,2026-06-25T01:00:00.000Z,1.16
0,1.0,6.0,fotmob-parse-bot,2026-06-25,4667756,9.0,25.0,49.0,1,2026-06-28,50,330.0,68.0,0.0,3.0,Completed,6.0,50.0,South Korea,3,8.0,18.0,2026-06-25T01:00:00.000Z,0.9
